17095,Melanie Peterson,United States,Married,Female,30,30-39,2,Low Value Customer,1,1,2,2013-02-21,2013-02-21,0,New Customer,344,1,1,1,111,Lost
17301,Abigail Bennett,United States,Single,Female,54,50 and above,2,Low Value Customer,1,1,2,2013-04-11,2013-04-11,0,New Customer,295,1,1,1,111,Lost
16994,Hunter Miller,United States,Single,Male,62,50 and above,2,Low Value Customer,1,1,2,2013-05-05,2013-05-05,0,New Customer,271,2,1,1,211,About to Sleep
17096,Natalie Bryant,United States,Married,Female,31,30-39,2,Low Value Customer,1,1,2,2013-06-27,2013-06-27,0,New Customer,218,2,2,1,221,About to Sleep
17777,Abigail Morris,United States,Single,Female,48,40-49,2,Low Value Customer,1,1,2,2013-07-15,2013-07-15,0,New Customer,200,3,2,1,321,Promising
17782,Alex Collins,United States,Single,Male,53,50 and above,2,Low Value Customer,1,1,2,2013-08-05,2013-08-05,0,New Customer,179,3,2,1,321,Promising
17969,Marcus Morgan,United States,Single,Male,61,50 and above,2,Low Value Customer,1,1,2,2013-08-18,2013-08-18,0,New Customer,166,3,2,1,321,Promising
16992,Natalie Rivera,United States,Married,Female,60,50 and above,2,Low Value Customer,1,1,2,2013-09-15,2013-09-15,0,New Customer,138,3,3,1,331,Potential Loyalists
17094,Brad Kumar,United States,Married,Male,31,30-39,2,Low Value Customer,1,1,2,2013-09-20,2013-09-20,0,New Customer,133,4,3,1,431,Potential Loyalists
17017,Cody Sanders,United States,Single,Male,63,50 and above,2,Low Value Customer,1,1,2,2013-10-10,2013-10-10,0,New Customer,113,4,3,1,431,Potential Loyalists
16993,Dylan Taylor,United States,Single,Male,60,50 and above,2,Low Value Customer,1,1,2,2013-11-19,2013-11-19,0,New Customer,73,5,3,1,531,Potential Loyalists
15902,Louis Nara,United Kingdom,Married,Male,42,40-49,4,Low Value Customer,1,1,4,2013-11-21,2013-11-21,0,New Customer,71,5,3,1,531,Potential Loyalists
14754,Nichole Lal,United Kingdom,Single,Female,57,50 and above,4,Low Value Customer,1,1,4,2013-11-10,2013-11-10,0,New Customer,82,4,3,1,431,Potential Loyalists
13539,Latasha Diaz,France,Single,Female,47,40-49,4,Low Value Customer,1,1,4,2013-11-26,2013-11-26,0,New Customer,66,5,3,1,531,Potential Loyalists
11806,Cristina Goel,Germany,Married,Female,64,50 and above,4,Low Value Customer,1,1,4,2013-12-06,2013-12-06,0,New Customer,56,5,3,1,531,Potential Loyalists
18062,Jaime Kumar,Australia,Single,Male,64,50 and above,4,Low Value Customer,1,1,4,2013-12-10,2013-12-10,0,New Customer,52,5,3,1,531,Potential Loyalists
18132,Brandon Coleman,United States,Single,Male,39,30-39,4,Low Value Customer,1,1,4,2013-12-10,2013-12-10,0,New Customer,52,5,3,1,531,Potential Loyalists
18077,Megan Miller,United States,Single,Female,32,30-39,4,Low Value Customer,1,1,4,2013-12-16,2013-12-16,0,New Customer,46,5,3,1,531,Potential Loyalists
13554,Michele Ashe,Germany,Married,Female,63,50 and above,4,Low Value Customer,1,1,4,2013-12-23,2013-12-23,0,New Customer,39,5,3,1,531,Potential Loyalists
9962,Keith Goldberg,France,Married,Male,48,40-49,4,Low Value Customer,1,1,4,2013-12-23,2013-12-23,0,New Customer,39,5,3,1,531,Potential Loyalists
16928,Omar Zhao,United Kingdom,Married,Male,53,50 and above,4,Low Value Customer,1,1,4,2013-12-24,2013-12-24,0,New Customer,38,5,3,1,531,Potential Loyalists
15821,Carol Nath,United Kingdom,Married,Female,42,40-49,4,Low Value Customer,1,1,4,2014-01-03,2014-01-03,0,New Customer,28,5,4,1,541,Potential Loyalists
15864,Alvin Chen,United Kingdom,Single,Male,31,30-39,4,Low Value Customer,1,1,4,2014-01-05,2014-01-05,0,New Customer,26,5,4,1,541,Potential Loyalists
16990,Joseph Thomas,United States,Married,Male,61,50 and above,4,Low Value Customer,1,1,4,2014-01-07,2014-01-07,0,New Customer,24,5,4,1,541,Potential Loyalists
6820,Arthur Rana,United Kingdom,Married,Male,43,40-49,4,Low Value Customer,1,1,4,2014-01-12,2014-01-12,0,New Customer,19,5,4,1,541,Potential Loyalists
11661,Monica Lopez,Germany,Single,Female,39,30-39,4,Low Value Customer,1,1,4,2014-01-13,2014-01-13,0,New Customer,18,5,4,1,541,Potential Loyalists
14545,Sergio Fernandez,United Kingdom,Single,Male,41,40-49,4,Low Value Customer,1,1,4,2014-01-14,2014-01-14,0,New Customer,17,5,4,1,541,Potential Loyalists
13151,Jack Campbell,Germany,Married,Male,48,40-49,4,Low Value Customer,1,1,4,2013-10-21,2013-10-21,0,New Customer,102,4,3,1,431,Potential Loyalists
12913,Arthur Sanchez,Germany,Single,Male,43,40-49,4,Low Value Customer,1,1,4,2013-11-02,2013-11-02,0,New Customer,90,4,3,1,431,Potential Loyalists
9957,Kristy Alonso,France,Single,Female,33,30-39,4,Low Value Customer,1,1,4,2013-11-06,2013-11-06,0,New Customer,86,4,3,1,431,Potential Loyalists
